,SKU_Labels
0,CIADHL02630002SI
1,CIADHL02630003SI
2,CIADHR02620004SI
3,CIADHR02620006SI
4,CIADHR02620007SI
5,CIBABT02900001SI
6,CIBABT02900003SI
7,CIBABT02900005SI
8,CIBAEV02880002SI
9,CIBAOO02890002SI
10,CIBAOO02890006SI
11,CIBAOO02890007SI
12,CIBAOO02890008SI
13,CIBAOO02890009SI
14,CIBAOO05710003SI
15,CIBLUJ04140034SI
16,CIBLUJ04140038SI
17,CIBLYH04130007SI
18,CIBPNG04650001SI
19,CICEIC02730002SI
20,CICEII05420005SI
21,CICEII05420011SI
22,CICEII05420019SI
23,CICEII05420020SI
24,CICEII05420021SI
25,CICEII05420022SI
26,CICERD02740002SI
27,CICERD02740004SI
28,CICEXA04610241SI
29,CICEXJ02770002SI
30,CICEXJ02770003SI
31,CICEXJ02770004SI
32,CIDOIQ04720010SI
33,CIDOKT05940003SI
34,CIDOKT05940004SI
35,CIDOZZ04742051SI
36,CIDOZZ04742052SI
37,CIFLDM06200002SA
38,CIFLDM06200003SA
39,CIFLDM06200004SA
40,CIFLJC02820001SI
41,CIFLJV03670002SI
42,CIFLLF02850002SI
43,CIFLLF02850003SI
44,CIFLLF02850009SI
45,CIFLLF02850010SI
46,CIFLLF02850011SI
47,CIFLLF02850012SI
48,CIFLLF02850013SI
49,CIFLLF02850014SA
50,CIFLLF02850014SI
51,CIFLNG02870006SI
52,CIFLNG02870007SI
53,CIFLWC02790003SI
54,CIFLXW04600006SI
55,CIFLXW04600011SI
56,CIFLYJ02780006SI
57,CIFLZW02800002SI
58,CIFLZW02800005SI
59,CIFUAQ02530009SI
60,CIFUAQ02530015SI
61,CIFUAV04010001SI
62,CIFUAV04010004SI
63,CIFUBG05540002SI
64,CIFUBG05540003SI
65,CIFUBG05540004SI
66,CIFUBG05540005SI
67,CIFUBQ05580003SI
68,CIFUBQ05580004SI
69,CIFUBQ05580005SI
70,CIFUFG02470007SI
71,CIFUFG02470008SI
72,CIFUGJ02510003SI
73,CIFUGJ02519901SA
74,CIFUGJ02519902SA
75,CIFUGJ02519903SA
76,CIFUGJ02519904SA
77,CIFUIK02500005SI
78,CIFUIK02500007SI
79,CIFUIK02500008SI
80,CIFUKV06180002SI
81,CIFUKV06180003SI
82,CIFUKV06180004SI
83,CIFULK02550002SI
84,CIFUOX06190002SI
85,CIFUOX06190003SI
86,CIFUOX06190004SI
87,CIFUPX05640002SI
88,CIFURT04060011SI
89,CIFURT04060012SI
90,CIFURT04060013SI
91,CIFUSI02490009SI
92,CIFUSS04050001SI
93,CIFUXU02480015SI
94,CIFUXU02480016SI
95,CIFUZD02600005SI
96,CIFUZD02600006SI
97,CIFUZD02600007SI
98,CIGPUD03570015SI
99,CIGPUD03570115SI
100,CIGPUD03570133SI
101,CIGPUD03570151SI
102,CIGPUD03570169SI
103,CIGSFF04070002SI
104,CIGSGR04080001SI
105,CIGSLO03980003SI
106,CIGSLO03980004SI
107,CIGSLO03980005SI
108,CIGSLO03980006SI
109,CIGSLO03980007SI
110,CIGSLO03980009SI
111,CIGSSG05990015SI
112,CIGSSG05990016SI
113,CIGSSG05990017SI
114,CIGSSG05990018SI
115,CIMSDC03930002SI
116,CIMSIY05150003SI
117,CIMSPC04680002SI
118,CIMSSN05530001SI
119,CIMSSS03920004SI
120,CIPTHP03070002SI
121,CIPTHP03070003SI
122,CIPTHP03070004SI
123,CIPTHP03070005SI
124,CIPTHP03070006SI
125,CIPTHP03070007SI
126,CIPTHP03070008SI
127,CIPTHP03070009SI
128,CIPTHP03070010SI
129,CIPTHP03070011SI
130,CIPTHP03070012SI
131,CIPTHP03070013SI
132,CIPTHP03070014SI
133,CIPTHP03070015SI
134,CIPTHP03070016SI
135,CIPTHP03070018SI
136,CIPTHP03070020SI
